                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.04335,                0.99711,                      1,                0.74665,             0.00040769,             0.00040769,             0.00040769
                     68,                0.04917,                0.99711,                      1,                0.74853,             0.00040298,             0.00040298,             0.00040298
                     69,                0.04189,                0.99566,                      1,                0.74785,             0.00039827,             0.00039827,             0.00039827
                     70,                0.03667,                0.99711,                      1,                0.74653,             0.00039356,             0.00039356,             0.00039356
                     71,                0.04543,                0.99855,                      1,                0.74665,             0.00038884,             0.00038884,             0.00038884
                     72,                0.05515,                0.99855,                      1,                0.74669,             0.00038413,             0.00038413,             0.00038413
                     73,                0.03807,                0.99855,                      1,                0.74527,             0.00037942,             0.00037942,             0.00037942
                     74,                0.03988,                0.99855,                      1,                0.74728,             0.00037471,             0.00037471,             0.00037471
                     75,                0.04793,                0.99855,                      1,                0.74596,             0.00036999,             0.00036999,             0.00036999
                     76,                0.03891,                0.99711,                      1,                0.74787,             0.00036528,             0.00036528,             0.00036528
                     77,                0.05324,                      1,                      1,                0.74497,             0.00036057,             0.00036057,             0.00036057
                     78,                0.04953,                      1,                      1,                0.74511,             0.00035586,             0.00035586,             0.00035586
                     79,                0.03204,                0.99855,                      1,                0.74562,             0.00035115,             0.00035115,             0.00035115
                     80,                0.03634,                0.99855,                      1,                0.74648,             0.00034643,             0.00034643,             0.00034643
                     81,                0.04138,                      1,                      1,                0.74557,             0.00034172,             0.00034172,             0.00034172
                     82,                0.03061,                0.99855,                      1,                0.74756,             0.00033701,             0.00033701,             0.00033701
                     83,                0.03618,                0.99855,                      1,                0.74626,              0.0003323,              0.0003323,              0.0003323
                     84,                0.03812,                0.99566,                      1,                0.74736,             0.00032758,             0.00032758,             0.00032758
                     85,                0.03502,                0.99855,                      1,                0.74592,             0.00032287,             0.00032287,             0.00032287
                     86,                 0.0331,                      1,                      1,                0.74465,             0.00031816,             0.00031816,             0.00031816
                     87,                0.02903,                      1,                      1,                 0.7451,             0.00031345,             0.00031345,             0.00031345
                     88,                0.04022,                      1,                      1,                0.74462,             0.00030873,             0.00030873,             0.00030873
                     89,                0.03901,                      1,                      1,                 0.7452,             0.00030402,             0.00030402,             0.00030402
                     90,                0.02905,                      1,                      1,                0.74408,             0.00029931,             0.00029931,             0.00029931
                     91,                0.02763,                0.99855,                      1,                0.74588,              0.0002946,              0.0002946,              0.0002946
                     92,                0.02419,                      1,                      1,                 0.7447,             0.00028988,             0.00028988,             0.00028988
                     93,                 0.0323,                0.99855,                      1,                0.74557,             0.00028517,             0.00028517,             0.00028517
                     94,                0.03294,                0.99855,                      1,                 0.7455,             0.00028046,             0.00028046,             0.00028046
                     95,                0.03306,                0.99855,                      1,                0.74536,             0.00027575,             0.00027575,             0.00027575
                     96,                0.03059,                0.99711,                      1,                0.74738,             0.00027103,             0.00027103,             0.00027103
                     97,                0.02924,                0.99855,                      1,                0.74534,             0.00026632,             0.00026632,             0.00026632
                     98,                0.03587,                0.99566,                      1,                 0.7459,             0.00026161,             0.00026161,             0.00026161
                     99,                0.03767,                0.99566,                      1,                0.74728,              0.0002569,              0.0002569,              0.0002569
                    100,                 0.0296,                0.99855,                      1,                0.74508,             0.00025218,             0.00025218,             0.00025218
                    101,                0.03957,                0.99855,                      1,                0.74515,             0.00024747,             0.00024747,             0.00024747
                    102,                0.03633,                0.99855,                      1,                0.74606,             0.00024276,             0.00024276,             0.00024276
                    103,                0.02503,                      1,                      1,                0.74458,             0.00023805,             0.00023805,             0.00023805
                    104,                 0.0234,                0.99855,                      1,                0.74464,             0.00023334,             0.00023334,             0.00023334
                    105,                 0.0409,                      1,                      1,                 0.7447,             0.00022862,             0.00022862,             0.00022862
                    106,                0.02935,                0.99711,                      1,                0.74713,             0.00022391,             0.00022391,             0.00022391
                    107,                0.03098,                0.99855,                      1,                0.74517,              0.0002192,              0.0002192,              0.0002192
                    108,                0.02998,                0.99855,                      1,                0.74481,             0.00021449,             0.00021449,             0.00021449
                    109,                0.02866,                      1,                      1,                0.74423,             0.00020977,             0.00020977,             0.00020977
                    110,                0.02028,                0.99855,                      1,                 0.7448,             0.00020506,             0.00020506,             0.00020506
                    111,                0.01983,                0.99855,                      1,                0.74479,             0.00020035,             0.00020035,             0.00020035
                    112,                 0.0229,                      1,                      1,                0.74428,             0.00019564,             0.00019564,             0.00019564
                    113,                 0.0232,                      1,                      1,                0.74394,             0.00019092,             0.00019092,             0.00019092
                    114,                0.02864,                      1,                      1,                0.74416,             0.00018621,             0.00018621,             0.00018621
                    115,                 0.0317,                      1,                      1,                0.74448,              0.0001815,              0.0001815,              0.0001815
                    116,                0.02755,                0.99566,                      1,                0.74697,             0.00017679,             0.00017679,             0.00017679
                    117,                0.02065,                      1,                      1,                0.74418,             0.00017207,             0.00017207,             0.00017207
                    118,                0.02091,                      1,                      1,                0.74403,             0.00016736,             0.00016736,             0.00016736
                    119,                0.02452,                      1,                      1,                0.74406,             0.00016265,             0.00016265,             0.00016265
                    120,                0.02122,                      1,                      1,                0.74402,             0.00015794,             0.00015794,             0.00015794
                    121,                0.02088,                      1,                      1,                0.74467,             0.00015322,             0.00015322,             0.00015322
                    122,                0.02268,                      1,                      1,                0.74437,             0.00014851,             0.00014851,             0.00014851
                    123,                0.01912,                      1,                      1,                0.74406,              0.0001438,              0.0001438,              0.0001438
                    124,                0.02855,                0.99855,                      1,                0.74436,             0.00013909,             0.00013909,             0.00013909
                    125,                0.01719,                      1,                      1,                0.74428,             0.00013437,             0.00013437,             0.00013437
                    126,                  0.026,                0.99855,                      1,                0.74493,             0.00012966,             0.00012966,             0.00012966
                    127,                0.02162,                0.99855,                      1,                0.74529,             0.00012495,             0.00012495,             0.00012495
                    128,                0.01609,                0.99855,                      1,                0.74497,             0.00012024,             0.00012024,             0.00012024
                    129,                  0.019,                0.99855,                      1,                0.74476,             0.00011553,             0.00011553,             0.00011553
                    130,                0.02554,                      1,                      1,                0.74438,             0.00011081,             0.00011081,             0.00011081
                    131,                0.01652,                      1,                      1,                 0.7442,              0.0001061,              0.0001061,              0.0001061
                    132,                0.02002,                      1,                      1,                0.74443,             0.00010139,             0.00010139,             0.00010139
                    133,                0.02278,                      1,                      1,                0.74407,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    134,                0.01706,                      1,                      1,                0.74422,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    135,                0.01761,                      1,                      1,                0.74419,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    136,                0.01253,                      1,                      1,                0.74474,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    137,                0.01855,                0.99855,                      1,                 0.7447,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    138,                0.01037,                0.99855,                      1,                0.74503,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    139,                0.00974,                0.99855,                      1,                 0.7446,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    140,                0.01455,                      1,                      1,                 0.7444,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    141,                0.01627,                      1,                      1,                0.74427,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    142,                0.01679,                      1,                      1,                0.74429,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    143,                0.01309,                      1,                      1,                0.74421,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    144,                0.01558,                      1,                      1,                0.74406,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    145,                0.02117,                      1,                      1,                0.74406,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    146,                0.01504,                      1,                      1,                  0.744,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    147,                0.01701,                      1,                      1,                0.74397,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    148,                0.01026,                      1,                      1,                0.74384,              2.599e-05,              2.599e-05,              2.599e-05
                    149,                0.02061,                      1,                      1,                0.74385,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    150,                0.01554,                      1,                      1,                0.74387,             1.6565e-05,             1.6565e-05,             1.6565e-05
